dense_id	source_id	cfa_node_ids
3313	8029245	8029245
3314	8029381	8029381
3315	8029945	8029945
3316	8030017	8030017
3317	8030149	8030149
3318	8030295	8030295
3319	8030433	8030433
3320	8030559	8030559
3321	8031667	8031667
3322	8031703	8031703
3323	8032309	8032309
3324	8033459	8033459
3325	8033561	8033561
3326	8033679	8033679
3327	8033681	8033681
3328	8033735	8033735
3329	8034029	8034029
3330	8034109	8034109
3331	8034169	8034169
3332	8034373	8034373
3333	8034469	8034469
3334	8034571	8034571
3335	8034703	8034703
3336	8034979	8034979
3337	8035001	8035001
3338	8035349	8035349
3339	8035391	8035391
3340	8035413	8035413
3341	8035421	8035421
3342	8035463	8035463
3343	8035917	8035917
3344	8036201	8036201
3345	8036945	8036945
3346	8037285	8037285
3347	8037309	8037309
3348	8037321	8037321
3349	8037779	8037779
3350	8037809	8037809
3351	8038023	8038023
3352	8038193	8038193
3353	8038469	8038469
3354	8038475	8038475
3355	8038479	8038479
3356	8038487	8038487
3357	8038511	8038511
3358	8038841	8038841
3359	8038991	8038991
3360	8039039	8039039
3361	8039043	8039043
3362	8039231	8039231
3363	8039471	8039471
3364	8039977	8039977
3365	8040031	8040031
3366	8040109	8040109
3367	8040115	8040115
3368	8040121	8040121
3369	8040139	8040139
3370	8040145	8040145
3371	8040797	8040797
3372	8041267	8041267
3373	8041285	8041285
3374	8041507	8041507
3375	8041711	8041711
3376	8041747	8041747
3377	8041753	8041753
3378	8041765	8041765
3379	8041831	8041831
3380	8042081	8042081
3381	8042679	8042679
3382	8043031	8043031
3383	8043283	8043283
3384	8044003	8044003
3385	8044281	8044281
3386	8044635	8044635
3387	8044773	8044773
3388	8044971	8044971
3389	8045335	8045335
3390	8045811	8045811
3391	8046249	8046249
3392	8046267	8046267
3393	8046291	8046291
3394	8046309	8046309
3395	8046441	8046441
3396	8046471	8046471
3397	8046661	8046661
3398	8046663	8046663
3399	8046765	8046765
3400	8046795	8046795
3401	8047687	8047687
3402	8048119	8048119
3403	8048161	8048161
3404	8048291	8048291
3405	8048321	8048321
3406	8048393	8048393
3407	8048757	8048757
3408	8049009	8049009
3409	8049123	8049123
3410	8049293	8049293
3411	8049523	8049523
3412	8049565	8049565
3413	8049619	8049619
3414	8049667	8049667
3415	8049733	8049733
3416	8049739	8049739
3417	8049967	8049967
3418	8049973	8049973
3419	8050333	8050333
3420	8050447	8050447
3421	8050607	8050607
3422	8050609	8050609
3423	8050651	8050651
3424	8050741	8050741
3425	8050981	8050981
3426	8051087	8051087
3427	8051143	8051143
3428	8051177	8051177
3429	8051263	8051263
3430	8051293	8051293
3431	8051773	8051773
3432	8051797	8051797
3433	8052397	8052397
3434	8052623	8052623
3435	8052659	8052659
3436	8052809	8052809
3437	8052825	8052825
3438	8052839	8052839
3439	8053209	8053209
3440	8053335	8053335
3441	8053481	8053481
3442	8053505	8053505
3443	8053649	8053649
3444	8053817	8053817
3445	8053995	8053995
3446	8054039	8054039
3447	8054159	8054159
3448	8054201	8054201
3449	8054249	8054249
3450	8054811	8054811
3451	8054813	8054813
3452	8054831	8054831
3453	8054891	8054891
3454	8055005	8055005
3455	8055017	8055017
3456	8055041	8055041
3457	8055443	8055443
3458	8055655	8055655
3459	8055751	8055751
3460	8055829	8055829
3461	8055925	8055925
3462	8055979	8055979
3463	8056045	8056045
3464	8056049	8056049
3465	8056145	8056145
3466	8056345	8056345
3467	8056399	8056399
3468	8056501	8056501
3469	8056519	8056519
3470	8056531	8056531
3471	8056885	8056885
3472	8057009	8057009
3473	8057045	8057045
3474	8057063	8057063
3475	8057291	8057291
3476	8057303	8057303
3477	8057369	8057369
3478	8057381	8057381
3479	8057465	8057465
3480	8057483	8057483
3481	8057763	8057763
3482	8057765	8057765
3483	8057951	8057951
3484	8057963	8057963
3485	8057975	8057975
3486	8058335	8058335
3487	8058467	8058467
3488	8058627	8058627
3489	8058629	8058629
3490	8059121	8059121
3491	8059403	8059403
3492	8059461	8059461
3493	8059641	8059641
3494	8059671	8059671
3495	8059749	8059749
3496	8059845	8059845
3497	8060047	8060047
3498	8060071	8060071
3499	8060125	8060125
3500	8060207	8060207
3501	8064671	8064671
3502	8065205	8065205
3503	8066909	8066909
3504	8066987	8066987
3505	8066993	8066993
3506	8066997	8066997
3507	8067151	8067151
3508	8067785	8067785
3509	8068125	8068125
3510	8072597	8072597
3511	8072749	8072749
3512	8075169	8075169
3513	8075173	8075173
3514	8075251	8075251
3515	8075335	8075335
3516	8075341	8075341
3517	8075347	8075347
3518	8075371	8075371
3519	8075967	8075967
3520	8079269	8079269
3521	8083589	8083589
3522	8083601	8083601
3523	8083781	8083781
3524	8083829	8083829
3525	8083943	8083943
3526	8083955	8083955
3527	8083961	8083961
3528	8083985	8083985
3529	8084099	8084099
3530	8084151	8084151
3531	8084337	8084337
3532	8084535	8084535
3533	8084541	8084541
3534	8084693	8084693
3535	8084699	8084699
3536	8084793	8084793
3537	8084903	8084903
3538	8084945	8084945
3539	8085005	8085005
3540	8085047	8085047
3541	8085191	8085191
3542	8085215	8085215
3543	8086047	8086047
3544	8086059	8086059
3545	8086085	8086085
3546	8086183	8086183
3547	8086213	8086213
3548	8086291	8086291
3549	8086465	8086465
3550	8086651	8086651
3551	8086807	8086807
3552	8087329	8087329
3553	8087443	8087443
3554	8087485	8087485
3555	8087677	8087677
3556	8087791	8087791
3557	8088281	8088281
3558	8088323	8088323
3559	8088329	8088329
3560	8088455	8088455
3561	8088579	8088579
3562	8088581	8088581
3563	8088677	8088677
3564	8088701	8088701
3565	8088855	8088855
3566	8088923	8088923
3567	8088947	8088947
3568	8088971	8088971
3569	8089651	8089651
3570	8089661	8089661
3571	8089693	8089693
3572	8089897	8089897
3573	8090005	8090005
3574	8090107	8090107
3575	8090143	8090143
3576	8090161	8090161
3577	8090221	8090221
3578	8090423	8090423
3579	8090677	8090677
3580	8090681	8090681
3581	8090683	8090683
3582	8090725	8090725
3583	8090731	8090731
3584	8090737	8090737
3585	8090845	8090845
3586	8091287	8091287
3587	8091321	8091321
3588	8091353	8091353
3589	8091395	8091395
3590	8091443	8091443
3591	8091605	8091605
3592	8091861	8091861
3593	8091927	8091927
3594	8091999	8091999
3595	8092101	8092101
3596	8092185	8092185
3597	8092365	8092365
3598	8092377	8092377
3599	8092443	8092443
3600	8092575	8092575
3601	8092773	8092773
3602	8092869	8092869
3603	8093019	8093019
3604	8093253	8093253
3605	8093259	8093259
3606	8093379	8093379
3607	8093415	8093415
3608	8093541	8093541
3609	8093607	8093607
3610	8093679	8093679
3611	8093733	8093733
3612	8093773	8093773
3613	8093823	8093823
3614	8093827	8093827
3615	8093959	8093959
3616	8094007	8094007
3617	8094049	8094049
3618	8094139	8094139
3619	8094379	8094379
3620	8094589	8094589
3621	8094649	8094649
3622	8094715	8094715
3623	8094745	8094745
3624	8094835	8094835
3625	8094847	8094847
3626	8094895	8094895
3627	8095027	8095027
3628	8095123	8095123
3629	8095171	8095171
3630	8095183	8095183
3631	8095243	8095243
3632	8095255	8095255
3633	8095357	8095357
3634	8095405	8095405
3635	8095469	8095469
3636	8095535	8095535
3637	8095715	8095715
3638	8095733	8095733
3639	8095817	8095817
3640	8095835	8095835
3641	8095853	8095853
3642	8095919	8095919
3643	8095937	8095937
3644	8095943	8095943
3645	8096171	8096171
3646	8096225	8096225
3647	8096489	8096489
3648	8096591	8096591
3649	8096609	8096609
3650	8096645	8096645
3651	8096751	8096751
3652	8096799	8096799
3653	8096853	8096853
3654	8096925	8096925
3655	8096943	8096943
3656	8096993	8096993
3657	8097059	8097059
3658	8097077	8097077
3659	8097113	8097113
3660	8097185	8097185
3661	8097353	8097353
3662	8097383	8097383
3663	8097585	8097585
3664	8097615	8097615
3665	8097697	8097697
3666	8097887	8097887
3667	8097895	8097895
3668	8098091	8098091
3669	8098453	8098453
3670	8098513	8098513
3671	8098543	8098543
3672	8098567	8098567
3673	8098627	8098627
3674	8098649	8098649
3675	8098651	8098651
3676	8098819	8098819
3677	8098939	8098939
3678	8098951	8098951
3679	8099137	8099137
3680	8099227	8099227
3681	8099287	8099287
3682	8099419	8099419
3683	8099425	8099425
3684	8099427	8099427
3685	8099553	8099553
3686	8099555	8099555
3687	8099591	8099591
3688	8099897	8099897
3689	8099915	8099915
3690	8099999	8099999
3691	8100023	8100023
3692	8100065	8100065
3693	8100179	8100179
3694	8100197	8100197
3695	8100263	8100263
3696	8100365	8100365
3697	8100383	8100383
3698	8100497	8100497
3699	8100527	8100527
3700	8100581	8100581
3701	8100635	8100635
3702	8100683	8100683
3703	8100821	8100821
3704	8100983	8100983
3705	8100989	8100989
3706	8101049	8101049
3707	8101259	8101259
3708	8101265	8101265
3709	8101637	8101637
3710	8101717	8101717
3711	8101783	8101783
3712	8102029	8102029
3713	8102227	8102227
3714	8102383	8102383
3715	8102439	8102439
3716	8102487	8102487
3717	8102499	8102499
3718	8102535	8102535
3719	8102649	8102649
3720	8102873	8102873
3721	8102927	8102927
3722	8103209	8103209
3723	8103233	8103233
3724	8103371	8103371
3725	8103497	8103497
3726	8103551	8103551
3727	8103617	8103617
3728	8103779	8103779
3729	8103791	8103791
3730	8103803	8103803
3731	8103821	8103821
3732	8103839	8103839
3733	8103875	8103875
3734	8103887	8103887
3735	8103893	8103893
3736	8103899	8103899
3737	8103923	8103923
3738	8104223	8104223
3739	8104229	8104229
3740	8104457	8104457
3741	8104625	8104625
3742	8104643	8104643
3743	8104709	8104709
3744	8104733	8104733
