node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,depth,kmer_distance_to_class_mean
16,8,8,1.0,0.0,8.0,1.0,50.0,1,1,3,1 tip,1 all neighbours foreign,2.7885899543762207,5.310713145058006
17,8,8,1.0,0.0,8.0,1.0,50.0,1,1,3,1 tip,1 all neighbours foreign,2.8269200325012207,5.188988844755035
18,7,7,0.0,0.0,1.0,,89.0,1,1,9,0 isolated,,2.1377599239349365,9.908175948179748
19,7,7,0.0,0.0,1.0,,89.0,1,1,9,0 isolated,,1.0,9.631836880027945
20,6,6,0.0,0.0,1.0,,51.0,0,0,1,0 isolated,,1.0542700290679932,2.8565869550309824
21,3,3,0.0,0.0,1.0,,30.0,1,1,7,0 isolated,,2.9073500633239746,12.843723370556992
22,8,8,0.0,0.0,1.0,,50.0,0,0,8,0 isolated,,3.2632200717926025,4.508748860387335
23,7,7,0.0,0.0,1.0,,89.0,0,0,2,0 isolated,,3.4042398929595947,24.83022714759124
24,8,8,0.0,0.0,1.0,,50.0,0,0,8,0 isolated,,2.7141098976135254,2.0920185599408065
25,7,7,0.0,0.0,1.0,,89.0,0,0,0,0 isolated,,3.7306900024414062,3.177040614337532
26,3,3,0.0,0.0,1.0,,30.0,1,1,7,0 isolated,,3.251579999923706,18.16467747882342
27,9,9,0.0,0.0,1.0,,30.0,1,1,5,0 isolated,,3.0295701026916504,5.451659621768786
28,9,9,0.0,0.0,1.0,,30.0,1,0,1,0 isolated,,3.002229928970337,10.130917005170037
29,7,7,0.0,0.0,1.0,,89.0,0,0,5,0 isolated,,3.0283100605010986,11.962192038009922
30,9,9,1.0,0.0,3.0,0.0,30.0,1,1,0,1 tip,0 no foreign neighbour,3.1446499824523926,4.470744038698495
31,9,9,0.0,0.0,1.0,,30.0,1,1,2,0 isolated,,2.8686599731445312,15.214901097625257
32,6,6,0.0,0.0,1.0,,51.0,1,1,2,0 isolated,,2.1099801063537598,24.697331788112827
33,1,1,0.0,0.0,1.0,,26.0,1,0,9,0 isolated,,2.8406500816345215,11.359982602868708
34,3,3,0.0,0.0,1.0,,30.0,1,0,9,0 isolated,,5.025489807128906,4.277707145213526
35,4,4,0.0,0.0,1.0,,33.0,0,0,7,0 isolated,,4.687709808349609,6.415878278477077
36,7,7,2.0,0.0,3.0,0.0,89.0,1,1,9,2 path,0 no foreign neighbour,4.812930107116699,9.711328469267961
37,7,7,1.0,0.0,3.0,0.0,89.0,0,0,3,1 tip,0 no foreign neighbour,2.1785099506378174,3.5473802367432685
38,7,7,1.0,0.0,3.0,0.0,89.0,0,0,3,1 tip,0 no foreign neighbour,2.3438899517059326,5.036496709266969
39,4,4,0.0,0.0,1.0,,33.0,1,1,9,0 isolated,,2.820319890975952,10.264581538737488
