node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,depth,kmer_distance_to_class_mean
4678,7,7,2.0,0.0,5139.0,0.0,984.0,0,0,0,2 path,0 no foreign neighbour,51.96540069580078,2.6150854911234283
4679,7,7,2.0,0.0,5139.0,0.0,984.0,0,0,8,2 path,0 no foreign neighbour,56.155799865722656,2.6193062758092416
4680,0,0,2.0,0.0,5139.0,0.0,914.0,1,0,0,2 path,0 no foreign neighbour,44.1072998046875,0.9970086767172601
4681,4,4,2.0,0.0,5139.0,1.0,543.0,1,1,0,2 path,1 all neighbours foreign,64.63030242919922,1.2904244461815966
4682,7,7,2.0,0.0,5139.0,1.0,984.0,0,0,9,2 path,1 all neighbours foreign,64.56600189208984,7.168815179909261
4683,6,6,2.0,0.0,5139.0,0.0,733.0,1,1,8,2 path,0 no foreign neighbour,65.7876968383789,9.622371067471754
4684,6,6,3.0,0.0,5139.0,0.6666666666666666,733.0,1,1,5,3+ branch,mixed,62.83489990234375,2.524577936206772
4685,7,7,3.0,0.0,5139.0,0.3333333333333333,984.0,0,0,9,3+ branch,mixed,63.756500244140625,1.955381709372866
4686,6,6,2.0,0.0,5139.0,0.0,733.0,1,1,9,2 path,0 no foreign neighbour,64.66619873046875,1.7785052046498935
4687,7,7,2.0,0.0,5139.0,1.0,984.0,0,0,9,2 path,1 all neighbours foreign,65.28179931640625,3.619917109799509
4688,9,9,1.0,0.0,5139.0,0.0,373.0,1,1,9,1 tip,0 no foreign neighbour,53.9114990234375,3.563902984648025
4689,9,9,2.0,0.0,5139.0,0.0,373.0,1,1,8,2 path,0 no foreign neighbour,63.317901611328125,22.988153693484712
4690,7,7,3.0,0.0,5139.0,0.0,984.0,1,1,6,3+ branch,0 no foreign neighbour,112.34400177001953,2.8238227856523754
4691,7,7,2.0,0.0,5139.0,0.5,984.0,0,0,9,2 path,mixed,66.44010162353516,2.7549315974246786
4692,6,6,2.0,0.0,5139.0,1.0,733.0,1,1,9,2 path,1 all neighbours foreign,66.7593002319336,0.8544554738193354
4693,4,4,2.0,0.0,5139.0,1.0,543.0,1,1,0,2 path,1 all neighbours foreign,46.63309860229492,1.8061302720636
4694,4,4,2.0,0.0,5139.0,1.0,543.0,1,1,0,2 path,1 all neighbours foreign,48.049598693847656,1.8272984545754285
4695,6,6,2.0,0.0,5139.0,1.0,733.0,1,1,0,2 path,1 all neighbours foreign,63.708099365234375,3.0084916561115893
4696,8,8,2.0,0.0,5139.0,0.0,452.0,1,1,8,2 path,0 no foreign neighbour,65.8895034790039,10.468065567558524
4697,8,8,4.0,0.0,5139.0,0.5,452.0,1,1,6,3+ branch,mixed,131.39500427246094,4.5025261343069864
4698,3,3,2.0,0.0,5139.0,0.0,295.0,1,1,6,2 path,0 no foreign neighbour,131.23300170898438,5.357723261516124
4699,7,7,2.0,0.0,5139.0,1.0,984.0,0,0,9,2 path,1 all neighbours foreign,64.73490142822266,7.103050961755359
4700,6,6,1.0,0.0,5139.0,0.0,733.0,1,1,9,1 tip,0 no foreign neighbour,65.54509735107422,5.195833088351107
4701,7,7,2.0,0.0,5139.0,0.5,984.0,0,0,9,2 path,mixed,61.18370056152344,1.6875284695875843
4702,6,6,2.0,0.0,5139.0,1.0,733.0,1,1,9,2 path,1 all neighbours foreign,67.06320190429688,1.5002550789380422
4703,7,7,2.0,0.0,5139.0,0.5,984.0,0,0,8,2 path,mixed,66.8405990600586,0.9462059457670602
4704,7,7,2.0,0.0,5139.0,0.5,984.0,0,0,8,2 path,mixed,65.67790222167969,18.822025428501522
4705,2,2,2.0,1.0,5139.0,0.0,234.0,1,1,8,2 path,0 no foreign neighbour,71.63690185546875,8.069114069733727
4706,2,2,2.0,0.0,5139.0,0.0,234.0,1,1,0,2 path,0 no foreign neighbour,62.075199127197266,8.114770743966325
4707,9,9,3.0,0.0,5139.0,0.0,373.0,1,1,0,3+ branch,0 no foreign neighbour,61.43009948730469,3.7059317785493007
4708,0,0,2.0,0.0,5139.0,0.5,914.0,1,0,0,2 path,mixed,63.8406982421875,0.9681569456481756
4709,4,4,2.0,0.0,5139.0,0.0,543.0,1,1,6,2 path,0 no foreign neighbour,190.36599731445312,1.8532185570033177
4710,8,8,2.0,0.0,5139.0,0.5,452.0,1,0,2,2 path,mixed,65.29100036621094,19.99876790049579
4711,5,5,2.0,0.0,5139.0,0.0,336.0,0,0,3,2 path,0 no foreign neighbour,64.19840240478516,8.524115537430584
4712,5,5,2.0,0.0,5139.0,0.5,336.0,0,0,3,2 path,mixed,63.91429901123047,44.225091822916376
4713,0,0,2.0,0.0,5139.0,0.5,914.0,1,0,0,2 path,mixed,64.30259704589844,0.8935893682598226
4714,4,4,2.0,0.0,5139.0,0.5,543.0,1,1,0,2 path,mixed,63.71030044555664,1.6666017817331933
4715,3,3,2.0,0.0,5139.0,0.0,295.0,1,1,0,2 path,0 no foreign neighbour,65.79460144042969,5.498666605792135
4716,9,9,3.0,0.0,5139.0,0.6666666666666666,373.0,1,1,6,3+ branch,mixed,182.46400451660156,3.328773462997355
4717,3,3,1.0,0.0,5139.0,0.0,295.0,1,1,2,1 tip,0 no foreign neighbour,44.66669845581055,5.504379440239214
4718,0,0,3.0,0.0,5139.0,1.0,914.0,0,0,5,3+ branch,1 all neighbours foreign,1.0,1.077396197066083
4719,7,7,2.0,0.0,5139.0,0.5,984.0,0,0,0,2 path,mixed,47.916500091552734,2.665898361405894
4720,6,6,2.0,0.0,5139.0,0.5,733.0,1,1,0,2 path,mixed,56.112998962402344,3.2863143417816882
4721,6,6,2.0,0.0,5139.0,0.0,733.0,1,1,9,2 path,0 no foreign neighbour,60.104801177978516,1.1030440037612697
4722,7,7,2.0,0.0,5139.0,1.0,984.0,0,0,9,2 path,1 all neighbours foreign,61.688201904296875,0.9234313725224048
4723,0,0,3.0,0.0,5139.0,0.6666666666666666,914.0,1,1,9,3+ branch,mixed,17.779699325561523,1.0727986014418218
4724,7,7,2.0,0.0,5139.0,1.0,984.0,0,0,0,2 path,1 all neighbours foreign,61.872100830078125,1.926765518107435
4725,7,7,2.0,0.0,5139.0,0.5,984.0,0,0,0,2 path,mixed,5.216219902038574,2.819797467009646
4726,0,0,2.0,0.0,5139.0,1.0,914.0,0,0,5,2 path,1 all neighbours foreign,1.0,1.0726727678848818
4727,7,7,2.0,0.0,5139.0,1.0,984.0,0,0,0,2 path,1 all neighbours foreign,59.16529846191406,2.4509812524812356
4728,6,6,2.0,0.0,5139.0,0.5,733.0,1,1,0,2 path,mixed,61.51139831542969,3.0654976784205172
4729,7,7,2.0,0.0,5139.0,0.5,984.0,0,0,9,2 path,mixed,65.93900299072266,9.268767423442098
4730,3,3,2.0,0.0,5139.0,0.5,295.0,1,1,2,2 path,mixed,66.85130310058594,34.16034211386435
4731,9,9,2.0,0.0,5139.0,0.0,373.0,1,1,9,2 path,0 no foreign neighbour,63.95370101928711,8.078589815586056
4732,0,0,1.0,0.0,5139.0,0.0,914.0,0,0,2,1 tip,0 no foreign neighbour,50.041900634765625,1.0215187960886698
4733,0,0,2.0,0.0,5139.0,0.0,914.0,0,0,2,2 path,0 no foreign neighbour,64.1843032836914,4.4357709964890555
4734,7,7,2.0,0.0,5139.0,0.5,984.0,0,0,0,2 path,mixed,62.298500061035156,1.339123464818469
4735,6,6,2.0,0.0,5139.0,0.5,733.0,1,1,9,2 path,mixed,65.42669677734375,1.8789310088268738
4736,3,3,2.0,0.0,5139.0,0.0,295.0,1,1,8,2 path,0 no foreign neighbour,66.20890045166016,19.33287984064931
4737,6,6,3.0,0.3333333432674408,5139.0,0.6666666666666666,733.0,1,1,0,3+ branch,mixed,2.7307701110839844,3.4632582526325133
4738,6,6,2.0,0.0,5139.0,0.0,733.0,1,1,0,2 path,0 no foreign neighbour,71.79429626464844,2.587139363525549
4739,4,4,2.0,0.0,5139.0,0.5,543.0,1,1,0,2 path,mixed,67.2251968383789,0.7104090907781428
4740,0,0,2.0,0.0,5139.0,0.5,914.0,1,0,0,2 path,mixed,41.43000030517578,0.9878039206540025
4741,7,7,2.0,0.0,5139.0,1.0,984.0,0,0,8,2 path,1 all neighbours foreign,64.6353988647461,44.152818134996274
4742,5,5,2.0,0.0,5139.0,1.0,336.0,0,0,1,2 path,1 all neighbours foreign,64.69380187988281,41.675874439961774
4743,5,5,3.0,0.0,5139.0,0.6666666666666666,336.0,0,0,3,3+ branch,mixed,62.878501892089844,19.654056922970597
4744,6,6,3.0,0.0,5139.0,0.6666666666666666,733.0,1,1,8,3+ branch,mixed,64.93579864501953,36.26162525451462
4745,6,6,2.0,0.0,5139.0,1.0,733.0,1,1,8,2 path,1 all neighbours foreign,64.45950317382812,10.874833308835713
4746,5,5,3.0,0.0,5139.0,0.6666666666666666,336.0,0,0,1,3+ branch,mixed,64.6707992553711,4.6301697209611525
4747,5,5,4.0,0.0,5139.0,0.25,336.0,0,0,1,3+ branch,mixed,64.51899719238281,3.7215249291817916
4748,4,4,2.0,0.0,5139.0,0.5,543.0,1,1,0,2 path,mixed,59.65359878540039,1.4500437815030243
4749,0,0,2.0,0.0,5139.0,0.5,914.0,1,1,0,2 path,mixed,42.354801177978516,1.0549964415294562
4750,0,0,2.0,0.0,5139.0,1.0,914.0,1,1,0,2 path,1 all neighbours foreign,46.88890075683594,1.0227634317896845
4751,4,4,2.0,0.0,5139.0,0.0,543.0,1,1,0,2 path,0 no foreign neighbour,62.89670181274414,1.7315348467510046
4752,0,0,2.0,0.0,5139.0,1.0,914.0,1,0,0,2 path,1 all neighbours foreign,60.972801208496094,0.9303012860655667
4753,8,8,2.0,0.0,5139.0,0.0,452.0,1,0,2,2 path,0 no foreign neighbour,64.91259765625,57.1930239733139
4754,8,8,2.0,0.0,5139.0,0.0,452.0,1,0,2,2 path,0 no foreign neighbour,64.99169921875,1.7697788576253486
4755,8,8,2.0,0.0,5139.0,0.0,452.0,1,1,8,2 path,0 no foreign neighbour,64.77140045166016,2.8514730652053966
4756,8,8,2.0,0.0,5139.0,0.0,452.0,1,1,0,2 path,0 no foreign neighbour,63.247100830078125,2.7092638194289855
4757,9,9,3.0,0.0,5139.0,0.0,373.0,1,1,5,3+ branch,0 no foreign neighbour,4.746029853820801,3.687298151262117
4758,5,5,2.0,0.0,5139.0,0.5,336.0,0,0,3,2 path,mixed,64.06189727783203,16.76715695327848
4759,5,5,3.0,0.0,5139.0,0.0,336.0,1,1,5,3+ branch,0 no foreign neighbour,1.0,10.914595060249763
4760,0,0,3.0,0.0,5139.0,0.6666666666666666,914.0,0,0,5,3+ branch,mixed,1.0,1.069535207034166
4761,7,7,2.0,0.0,5139.0,0.0,984.0,0,0,9,2 path,0 no foreign neighbour,66.34310150146484,12.4648531802249
4762,9,9,2.0,0.0,5139.0,0.0,373.0,1,1,9,2 path,0 no foreign neighbour,62.53139877319336,3.3204334184544564
4763,9,9,2.0,0.0,5139.0,0.0,373.0,1,1,8,2 path,0 no foreign neighbour,64.83709716796875,9.633269077498422
4764,9,9,2.0,0.0,5139.0,0.0,373.0,1,1,9,2 path,0 no foreign neighbour,59.92470169067383,3.592867290961488
4765,9,9,3.0,0.0,5139.0,0.0,373.0,1,1,5,3+ branch,0 no foreign neighbour,4.0,3.696700823872797
4766,5,5,3.0,0.0,5139.0,0.0,336.0,1,1,5,3+ branch,0 no foreign neighbour,34.86669921875,10.906075148612354
4767,9,9,3.0,0.0,5139.0,0.0,373.0,1,1,5,3+ branch,0 no foreign neighbour,11.39680004119873,3.7100669693752906
4768,9,9,2.0,0.0,5139.0,0.0,373.0,1,1,9,2 path,0 no foreign neighbour,70.00499725341797,3.5366794563255675
4769,9,9,2.0,0.0,5139.0,0.0,373.0,1,1,9,2 path,0 no foreign neighbour,63.9005012512207,2.6283498686026823
4770,9,9,2.0,0.0,5139.0,0.5,373.0,1,1,9,2 path,mixed,62.37179946899414,3.5880119199006293
4771,9,9,3.0,0.0,5139.0,0.0,373.0,1,1,5,3+ branch,0 no foreign neighbour,8.680560111999512,3.7172247400503653
4772,8,8,2.0,0.0,5139.0,0.0,452.0,1,0,7,2 path,0 no foreign neighbour,65.42479705810547,29.403627122257433
4773,8,8,2.0,0.0,5139.0,0.5,452.0,1,1,0,2 path,mixed,52.569400787353516,4.8859549510142
4774,4,4,4.0,0.3333333432674408,5139.0,0.25,543.0,1,1,0,3+ branch,mixed,86.13249969482422,1.8892019678027847
4775,4,4,1.0,0.0,5139.0,1.0,543.0,1,1,0,1 tip,1 all neighbours foreign,10.888899803161621,1.8949656911512005
4776,0,0,2.0,0.0,5139.0,0.0,914.0,0,0,2,2 path,0 no foreign neighbour,64.97239685058594,1.4243590501281391
4777,4,4,2.0,0.0,5139.0,1.0,543.0,1,1,2,2 path,1 all neighbours foreign,65.32479858398438,4.483291418584417
4778,6,6,2.0,0.0,5139.0,0.5,733.0,1,1,8,2 path,mixed,64.10209655761719,10.585507437849277
4779,7,7,2.0,0.0,5139.0,0.5,984.0,0,0,8,2 path,mixed,65.6864013671875,5.703547905100464
4780,1,1,3.0,0.3333333432674408,5139.0,0.0,276.0,1,1,2,3+ branch,0 no foreign neighbour,63.27539825439453,1.480741079655239
4781,9,9,2.0,0.0,5139.0,0.0,373.0,1,1,8,2 path,0 no foreign neighbour,64.16560363769531,8.195014436020605
4782,5,5,2.0,0.0,5139.0,0.5,336.0,0,0,3,2 path,mixed,64.86209869384766,2.5125077524062527
4783,2,2,2.0,0.0,5139.0,0.0,234.0,1,1,8,2 path,0 no foreign neighbour,63.92190170288086,23.355050662498897
4784,6,6,2.0,0.0,5139.0,0.5,733.0,1,1,9,2 path,mixed,63.831298828125,7.585894285882334
4785,7,7,2.0,0.0,5139.0,0.5,984.0,0,0,0,2 path,mixed,57.224300384521484,2.6018685443449634
4786,6,6,2.0,0.0,5139.0,0.5,733.0,1,1,0,2 path,mixed,56.16460037231445,3.2055683769220815
4787,7,7,2.0,0.0,5139.0,1.0,984.0,0,0,9,2 path,1 all neighbours foreign,67.14330291748047,1.0619367043076717
4788,6,6,2.0,0.0,5139.0,0.5,733.0,1,1,0,2 path,mixed,98.61060333251953,3.441978746597365
4789,0,0,2.0,0.0,5139.0,0.5,914.0,1,0,0,2 path,mixed,48.22090148925781,1.0260500262227745
4790,9,9,2.0,0.0,5139.0,0.5,373.0,1,1,4,2 path,mixed,186.35299682617188,3.459690033037467
4791,7,7,2.0,0.0,5139.0,0.5,984.0,1,0,5,2 path,mixed,3.682539939880371,2.836094815931358
4792,8,8,4.0,0.0,5139.0,0.25,452.0,1,1,5,3+ branch,mixed,7.554049968719482,4.9200250404318755
4793,1,1,2.0,0.0,5139.0,0.0,276.0,1,1,2,2 path,0 no foreign neighbour,64.26349639892578,3.850392252610585
4794,1,1,2.0,0.0,5139.0,0.0,276.0,1,1,2,2 path,0 no foreign neighbour,53.58000183105469,5.283660428210636
4795,3,3,2.0,0.0,5139.0,1.0,295.0,1,1,2,2 path,1 all neighbours foreign,68.67980194091797,4.1132823721286
4796,2,2,2.0,0.0,5139.0,0.5,234.0,1,1,0,2 path,mixed,64.58280181884766,6.791049858914351
4797,2,2,2.0,0.0,5139.0,0.5,234.0,1,1,8,2 path,mixed,64.27400207519531,6.957202848770176
4798,6,6,2.0,0.0,5139.0,0.5,733.0,1,1,8,2 path,mixed,65.13980102539062,22.658119326642698
4799,6,6,2.0,0.0,5139.0,0.5,733.0,1,1,9,2 path,mixed,66.59089660644531,2.434829154718234
4800,4,4,2.0,0.0,5139.0,0.0,543.0,1,1,0,2 path,0 no foreign neighbour,53.144100189208984,1.8012167039616718
4801,4,4,2.0,0.0,5139.0,0.0,543.0,1,1,5,2 path,0 no foreign neighbour,54.89360046386719,1.819589158716119
4802,6,6,2.0,0.0,5139.0,0.0,733.0,1,1,0,2 path,0 no foreign neighbour,64.88990020751953,0.9084906955635761
4803,0,0,2.0,0.0,5139.0,0.5,914.0,1,1,0,2 path,mixed,52.552799224853516,1.0533741359973516
4804,0,0,3.0,0.0,5139.0,0.0,914.0,1,0,0,3+ branch,0 no foreign neighbour,63.97439956665039,0.5960514412632171
4805,4,4,3.0,0.0,5139.0,0.0,543.0,1,1,0,3+ branch,0 no foreign neighbour,1.0,1.8793796446257724
4806,4,4,2.0,0.0,5139.0,0.0,543.0,1,1,0,2 path,0 no foreign neighbour,29.513500213623047,1.8674081144648276
4807,6,6,2.0,0.0,5139.0,0.5,733.0,1,1,9,2 path,mixed,66.53459930419922,2.442494396924888
4808,7,7,2.0,0.0,5139.0,1.0,984.0,1,1,5,2 path,1 all neighbours foreign,66.8147964477539,2.8280799678399737
