node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,coverage,dist_from_mean_coordinate,n_modes,n_routes
481,3,bus+trolley,1.0,0.0,4562.0,0.0,610.0,1,1,4,1 tip,0 no foreign neighbour,160.7325439453125,0.10973610728979111,2.0,4.0
482,6,trolley,1.0,0.0,4562.0,1.0,261.0,1,1,4,1 tip,1 all neighbours foreign,40.53773880004883,0.18040910363197327,1.0,1.0
483,3,bus+trolley,3.0,0.0,4562.0,0.0,610.0,1,1,0,3+ branch,0 no foreign neighbour,580.0223999023438,0.14804008603096008,2.0,11.0
484,3,bus+trolley,1.0,0.0,4562.0,0.0,610.0,1,1,4,1 tip,0 no foreign neighbour,260.5548400878906,0.15960553288459778,2.0,6.0
485,3,bus+trolley,3.0,0.0,4562.0,0.0,610.0,1,1,0,3+ branch,0 no foreign neighbour,646.5809936523438,0.17380377650260925,2.0,11.0
486,6,trolley,1.0,0.0,4562.0,1.0,261.0,1,1,3,1 tip,1 all neighbours foreign,170.17788696289062,0.08556986600160599,1.0,4.0
487,6,trolley,1.0,0.0,4562.0,1.0,261.0,1,1,4,1 tip,1 all neighbours foreign,83.91271209716797,0.12654168903827667,1.0,2.0
488,6,trolley,1.0,0.0,4562.0,1.0,261.0,1,1,4,1 tip,1 all neighbours foreign,226.4861297607422,0.1076495423913002,1.0,5.0
489,0,bus,1.0,0.0,4562.0,1.0,3145.0,0,0,5,1 tip,1 all neighbours foreign,760.240478515625,0.15431080758571625,1.0,12.0
490,3,bus+trolley,2.0,0.0,4562.0,0.5,610.0,1,1,0,2 path,mixed,711.2963256835938,0.10183131694793701,2.0,13.0
491,3,bus+trolley,2.0,0.0,4562.0,0.5,610.0,1,1,0,2 path,mixed,711.8956298828125,0.09468962997198105,2.0,13.0
492,3,bus+trolley,5.0,0.0,4562.0,0.6,610.0,1,1,3,3+ branch,mixed,319.84747314453125,0.21489693224430084,2.0,8.0
493,3,bus+trolley,5.0,0.0,4562.0,0.8,610.0,1,1,6,3+ branch,mixed,1423.69287109375,0.08924245089292526,2.0,28.0
494,3,bus+trolley,3.0,0.0,4562.0,1.0,610.0,1,1,6,3+ branch,1 all neighbours foreign,980.2515869140625,0.07474810630083084,2.0,18.0
495,3,bus+trolley,1.0,0.0,4562.0,0.0,610.0,1,1,0,1 tip,0 no foreign neighbour,880.4995727539062,0.08461008965969086,2.0,16.0
496,6,trolley,1.0,0.0,4562.0,1.0,261.0,1,1,3,1 tip,1 all neighbours foreign,111.14481353759766,0.20648857951164246,1.0,2.0
497,6,trolley,1.0,0.0,4562.0,1.0,261.0,1,1,0,1 tip,1 all neighbours foreign,289.5428161621094,0.07356425374746323,1.0,6.0
498,3,bus+trolley,3.0,0.0,4562.0,1.0,610.0,1,1,3,3+ branch,1 all neighbours foreign,448.1338806152344,0.2039196789264679,2.0,8.0
499,3,bus+trolley,7.0,0.0,4562.0,0.8571428571428571,610.0,1,1,6,3+ branch,mixed,899.5343017578125,0.07398217916488647,2.0,16.0
