route,n_stops,cohesion,null_cohesion,span
bus:167,23,0.782608695652174,0.34695652173913044,0.045496199280023575
bus:168,16,0.375,0.36875,0.05201971158385277
bus:169,44,0.45454545454545453,0.34545454545454546,0.07168090343475342
bus:170,70,0.5285714285714286,0.3322857142857142,0.11391683667898178
bus:171,53,0.49056603773584906,0.3373584905660378,0.09671584516763687
bus:172,53,0.39622641509433965,0.34339622641509426,0.11184138804674149
bus:173,27,0.7777777777777778,0.3437037037037037,0.14155681431293488
bus:174,50,0.68,0.33399999999999996,0.10160333663225174
bus:175,21,0.7142857142857143,0.36285714285714277,0.12728361785411835
bus:176,62,0.5806451612903226,0.327741935483871,0.12088432908058167
bus:177,24,0.5833333333333334,0.36666666666666664,0.06972896307706833
bus:178,47,0.6170212765957447,0.3314893617021277,0.11228801310062408
bus:179,34,0.6470588235294118,0.3494117647058823,0.2068435549736023
bus:18,32,0.46875,0.34375,0.09659718722105026
bus:180,67,0.4925373134328358,0.3319402985074626,0.14907066524028778
bus:180А,21,0.6666666666666666,0.3742857142857142,0.046106815338134766
bus:181,49,0.32653061224489793,0.3497959183673469,0.17178663611412048
bus:182,42,0.5,0.3338095238095238,0.09481340646743774
bus:183,55,0.5636363636363636,0.3218181818181818,0.12169384211301804
bus:184,57,0.5614035087719298,0.33298245614035094,0.10580091178417206
bus:185,52,0.5,0.3376923076923077,0.15933950245380402
bus:186,49,0.5306122448979592,0.34775510204081633,0.15084326267242432
bus:187,37,0.5405405405405406,0.34216216216216216,0.17280255258083344
bus:188,34,0.47058823529411764,0.3658823529411764,0.1818847507238388
bus:189,46,0.717391304347826,0.32826086956521733,0.26640021800994873
bus:19,21,0.3333333333333333,0.34476190476190466,0.03700800612568855
bus:190,16,0.6875,0.37125,0.04149194806814194
bus:191,67,0.4626865671641791,0.3376119402985075,0.21403683722019196
bus:192,48,0.6875,0.34291666666666665,0.2908304035663605
bus:193,25,0.52,0.3648,0.12060559540987015
bus:194,21,0.5714285714285714,0.3657142857142857,0.15490224957466125
bus:195,26,0.38461538461538464,0.3561538461538462,0.1373506784439087
bus:196,36,0.5833333333333334,0.3261111111111111,0.25638696551322937
bus:197,25,0.88,0.3608,0.17686337232589722
bus:198,48,0.5833333333333334,0.34208333333333335,0.07043153792619705
bus:199,56,0.5892857142857143,0.3325,0.14301156997680664
bus:1КР,16,0.8125,0.3675,0.0452711321413517
bus:1Л,24,0.5416666666666666,0.36083333333333334,0.12919248640537262
bus:1МА,26,0.5769230769230769,0.34461538461538455,0.12830568850040436
bus:2,73,0.5068493150684932,0.3328767123287671,0.1789073646068573
bus:20,36,0.5833333333333334,0.345,0.16086548566818237
bus:200,84,0.5,0.33071428571428574,0.49799036979675293
bus:201,52,0.5576923076923077,0.3411538461538461,0.3284055292606354
bus:202,58,0.6896551724137931,0.32275862068965516,0.23085574805736542
