node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,coverage,length,gc,n_sample_colors
614,5,T7,2.0,0.0,394.0,0.5,163.0,1,0,3,2 path,mixed,10.7699,134.0,0.4925373134328358,0.0
615,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,2.445,412.0,0.47572815533980584,1.0
616,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,4.0161,332.0,0.39156626506024095,2.0
617,0,unclassified_or_mixed,4.0,0.0,394.0,1.0,80.0,0,0,1,3+ branch,1 all neighbours foreign,14.625,29.0,0.5517241379310345,2.0
618,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,2.0,101.0,0.48514851485148514,1.0
619,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,4.863,240.0,0.375,2.0
620,0,unclassified_or_mixed,4.0,0.0,394.0,1.0,80.0,0,0,1,3+ branch,1 all neighbours foreign,8.6,26.0,0.5,2.0
621,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,1.9386,852.0,0.3215962441314554,2.0
622,2,T3,2.0,0.0,394.0,1.0,156.0,0,0,3,2 path,1 all neighbours foreign,14.0971,124.0,0.5,0.0
623,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.7134,356.0,0.31179775280898875,2.0
624,2,T3,2.0,0.0,394.0,1.0,156.0,0,0,3,2 path,1 all neighbours foreign,8.1968,1876.0,0.5053304904051172,1.0
625,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,3.2017,140.0,0.3357142857142857,1.0
626,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.2571,126.0,0.3968253968253968,1.0
627,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,3.3014,313.0,0.44089456869009586,1.0
628,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,1.9696,284.0,0.3626760563380282,1.0
629,4,T5,1.0,0.0,5.0,0.0,177.0,1,1,4,1 tip,0 no foreign neighbour,2.6167,308.0,0.35064935064935066,1.0
